453,-26.206755,28.090407,Okuhle Waste Management,City of Johannesburg,Johannesburg,Collector & Recycler,Open 8am -5pm. Operational?,,http://www.okuhlewaste.co.za/,n,y,y,y,yes,n,n,,yes,y,y
454,-26.200272,28.053505,Okuhle Waste Management PTY (LTD),City of Johannesburg,Johannesburg,Collector & Recycler,Open 8am -5pm. Operational?,,http://www.okuhlewaste.co.za/,n,y,y,n,yes,n,n,,yes,y,y
538,-26.1622,27.862728,Paper Waste Man,City of Johannesburg,Roodepoort,BuyBack,Open 8am -5pm,,https://www.paperwasteman.com/,n,y,y,y,yes,y,y,,yes,y,y
556,-26.327653,27.986444,Lido Hotel,City of Johannesburg,City of Johannesburg NU,Drop-off (recycling),closed,glass only,n,n,n,n,n,,n,n,,,n,n
540,-26.333365,27.988356,Buksies Resort,City of Johannesburg,City of Johannesburg NU,Drop-off (recycling),closed,glass only,n,n,n,n,n,,n,n,,,n,n
1002,-26.251049,28.108943,Tulisa Park Liquor Discount,City of Johannesburg,Johannesburg,Drop-off (recycling),closed,glass only,n,n,n,n,n,,n,n,,,n,n
1015,-26.178591,28.114177,Garden Court Eastgate,City of Johannesburg,Johannesburg,Drop-off (recycling),Limited access,glass only,n,n,n,n,n,,n,n,,,n,n
1018,-26.175938,28.109718,Morning Hill Country Club,City of Johannesburg,Johannesburg,Drop-off (recycling),Open 24/7,glass only,n,n,n,n,n,,n,n,,,n,n
1030,-26.155832,28.120094,Huddle Park Golf and Recreation,City of Johannesburg,Johannesburg,Drop-off (recycling),Open 8am -8pm,glass only,n,n,n,n,n,,n,n,,,n,n
1043,-26.128066,28.017392,REEA Foundation,City of Johannesburg,Randburg,Drop-off (recycling),Open 8am -5pm,glass only,n,n,n,n,n,,n,n,,,n,n
1050,-26.097924,28.166059,Modderfontein Bowling Club,City of Johannesburg,Johannesburg,Drop-off (recycling),?,glass only,n,n,n,n,n,,n,n,,,n,n
1052,-26.059511,28.046187,Jacksons Real Food Market,City of Johannesburg,Sandton,Drop-off (recycling),closed,glass only,n,n,n,n,n,,n,n,,,n,n
1053,-26.027658,28.021008,Society Eatery and Craft Bar,City of Johannesburg,Sandton,Drop-off (recycling),Open 24/7,glass only,n,n,n,n,n,,n,n,,,n,n
1054,-26.016145,28.000352,Caltex Cedar Road,City of Johannesburg,Sandton,Drop-off (recycling),Open 24/7,glass only,n,n,n,n,n,,n,n,,,n,n
1055,-25.999879,27.977418,Rem Landy,City of Johannesburg,Chartwell,Drop-off (recycling),?,glass only,n,n,n,n,n,,n,n,,,n,n
1056,-25.989113,27.997576,Dainfern Golf and Country Club,City of Johannesburg,Dainfern,Drop-off (recycling),?,glass only,n,n,n,n,n,,n,n,,,n,n
1057,-25.987936,27.968976,Chartwell House Eco Monyesorri Eco School,City of Johannesburg,Chartwell,Drop-off (recycling),?,glass only,n,n,n,n,n,,n,n,,,n,n
1085,-26.203835,28.071987,St James Primary School,City of Johannesburg,Johannesburg,Drop-off (recycling),?,glass and paper only,n,n,n,n,n,,n,n,,,y,n
1086,-26.1858,28.006397,Auckland Park Preparatory School,City of Johannesburg,Johannesburg,Drop-off (recycling),Open 24/7,glass and paper only,n,n,n,n,n,,n,n,,,y,n
1087,-26.159993,27.983879,Montgomery Haven,City of Johannesburg,Randburg,Drop-off (recycling),Limited access,glass and paper only,n,n,n,n,n,,n,n,,,y,n
1088,-26.152425,27.98675,Methodist Home for the Aged - Rose Village,City of Johannesburg,Randburg,Drop-off (recycling),Open 24/7,glass and paper only,n,n,n,n,n,,n,n,,,y,n
1089,-26.145413,28.033906,Parktown North Methodist Church,City of Johannesburg,Randburg,Drop-off (recycling),Open 8am -5pm,glass and paper only,n,n,n,n,n,,n,n,,,y,n
1090,-26.145117,28.035074,1st Avenue Complex,City of Johannesburg,Randburg,Drop-off (recycling),closed,glass and paper only,n,n,n,n,n,,n,n,,,y,n
1091,-26.241741,28.074875,Nederduitsch Hervormde Kerk Jhb-Suid Gemeente,City of Johannesburg,Johannesburg,Drop-off (recycling),Open 24/7,glass and paper only,n,n,n,n,n,,n,n,,,y,n
